fund_name,fund_house,category,sub_category,asset_class,fund_type,sector,combined_text
Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life,Debt,Liquid,Debt,Open Ended,Debt,Aditya Birla Sun Life Liquid Fund. fund_house: Aditya Birla Sun Life. category: Debt. sub_category: Liquid. asset_class: Debt. fund_type: Open Ended. sector: Debt
IDFC Cash Fund,IDFC,Debt,Liquid,Debt,Open Ended,Debt,IDFC Cash Fund. fund_house: IDFC. category: Debt. sub_category: Liquid. asset_class: Debt. fund_type: Open Ended. sector: Debt
ICICI Prudential Short Term Fund,ICICI Prudential,Debt,Short Duration,Debt,Open Ended,Debt,ICICI Prudential Short Term Fund. fund_house: ICICI Prudential. category: Debt. sub_category: Short Duration. asset_class: Debt. fund_type: Open Ended. sector: Debt
HDFC Short Term Debt Fund,HDFC Mutual Fund,Debt,Short Duration,Debt,Open Ended,Debt,HDFC Short Term Debt Fund. fund_house: HDFC Mutual Fund. category: Debt. sub_category: Short Duration. asset_class: Debt. fund_type: Open Ended. sector: Debt
SBI Short Term Debt Fund,SBI Mutual Fund,Debt,Short Duration,Debt,Open Ended,Debt,SBI Short Term Debt Fund. fund_house: SBI Mutual Fund. category: Debt. sub_category: Short Duration. asset_class: Debt. fund_type: Open Ended. sector: Debt
Aditya Birla Sun Life Short Term Fund,Aditya Birla Sun Life,Debt,Short Duration,Debt,Open Ended,Debt,Aditya Birla Sun Life Short Term Fund. fund_house: Aditya Birla Sun Life. category: Debt. sub_category: Short Duration. asset_class: Debt. fund_type: Open Ended. sector: Debt
Axis Gold Fund,Axis Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold,Axis Gold Fund. fund_house: Axis Mutual Fund. category: Commodity. sub_category: Gold. asset_class: Commodity. fund_type: Open Ended. sector: Gold
SBI Gold Fund,SBI Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold,SBI Gold Fund. fund_house: SBI Mutual Fund. category: Commodity. sub_category: Gold. asset_class: Commodity. fund_type: Open Ended. sector: Gold
HDFC Gold Fund,HDFC Mutual Fund,Commodity,Gold,Commodity,Open Ended,Gold,HDFC Gold Fund. fund_house: HDFC Mutual Fund. category: Commodity. sub_category: Gold. asset_class: Commodity. fund_type: Open Ended. sector: Gold
UTI Gold Exchange Traded Fund,UTI,Commodity,Gold ETF,Commodity,Exchange Traded Fund,Gold,UTI Gold Exchange Traded Fund. fund_house: UTI. category: Commodity. sub_category: Gold ETF. asset_class: Commodity. fund_type: Exchange Traded Fund. sector: Gold
Nippon India ETF Gold BeES,Nippon India,Commodity,Gold ETF,Commodity,Exchange Traded Fund,Gold,Nippon India ETF Gold BeES. fund_house: Nippon India. category: Commodity. sub_category: Gold ETF. asset_class: Commodity. fund_type: Exchange Traded Fund. sector: Gold
